patent,jurisdiction,assignee,status,filing_date,expiration_date,abstract
US10273170B2,US,,,,,
US8314674B2,US,,,,2028-07-25,"An electrical transformer with unidirectional flux compensation is provided. The transformer includes a soft magnetic core on which a primary winding arrangement, a secondary winding arrangement, and a compensation winding arrangement are arranged. The compensation winding arrangement is connected to a current control device which feeds a compensation current into the compensation winding arrangement using a control signal. A magnetic field measuring device measures the magnetic field in the core of the transformer or the stray magnetic field that closes outside the core via an air path and provides the control signal."
US09711261,US,,,,,
US20110017664A1,US,,,,,
US09127344,US,,,,,
US09708852,US,,,,,
US6516326B1,US,,,,,
US6741724B1,US,,,,2020-03-24,"The invention provides a method of processing an information form such as a postal change of address form. Such a form includes various data elements, such as a name of a person submitting the form and the information on which action is to be taken. In the case of mail forwarding, these data elements would include, for example, the name of the person that wishes mail to be redirected, an old address to which mail for that person was previously sent, and a new address to which mail for that person should be sent. Such a method includes the steps of scanning a sheet having written information thereon reflecting the data elements to obtain an image, processing the image with character recognition logic to obtain text data corresponding to the written information, analyzing the text data with a computer to determine a scanning error probability therein, if the scanning error probability exceeds a predetermined limit, attempting to correct such error by editing of the text data by at least one of a computer using predetermined correction criteria and a human operator viewing the text data, checking one or more elements of the text data (such as a new address and an old address) against a first database of valid data elements (e.g., a postal address database), if the element is found in the first database, updating a second database such as a National Change of Address (NCOA) database to include at least new or revised text data, and rejecting the text data and aborting updating the second database for such text data that cannot be corrected. The invention further provides a system for processing a series of change of information forms such as COA forms, which system is capable of carrying out the foregoing process."
US07417359,US,,,,,
US07570738,US,,,,,
US9392958B2,US,,,,,
US09030201,US,,,,,
US9392958,US,,,,2034-10-27,Various embodiments relate to a method of attenuation correction of Positron Emission Tomography (PET) data based on Magnetic Resonance Tomography (MRT) data. A method of at least one embodiment further includes determining further data being indicative of an iterative cycle of a physiological observable of a patient and matching the PET data with the MRT data based on the further data.
US07113981,US,,,,,
US5839440A,US,,,,2015-11-24,A three-dimensional image registration method also uses an algorithm and applies it to the solution of such problems in 3D CT DSA. The method can deal with incomplete or partial volumetric data in registration and correct patient global motion prior to subtraction even when it is coupled with local unconscious/nonrigid movements. Experimental results demonstrate the effectiveness of this algorithm on several clinical spiral CT data.
US07804990,US,,,,,
US11672468,US,,,,,
US07894460,US,,,,,
US5623540,US,,,,2014-10-05,"A system and method is provided for scheduling data collection sessions between a collection computer and one or more computerized branch exchanges (CBXs). Telephone statistics data collected from the CBXs is stored into a database in the collection computer and accumulated according to fixed time intervals and one or more previously created organizational hierarchies. A report generation system and method is also provided for selectively retrieving stored data and formatting it into a report with features including time zone adjustment, time offsets, data element calculations, and ""where"" conditions, all in a manner which does not require the user to understand the underlying database organization or any programming languages."
US6292717,US,,,,,
US5123056,US,,,,2010-02-02,"An X-ray examination device having an imaging area which is less than the length of an object to be imaged, acquires a series of high-resolution input images at selected different positions which overlap along the length of the object. The high-resolution images are processed in accordance with first and second methods for later application to a display device. The first method creates a low-resolution composite image for display which is simutaneously representative of a plurality of the high-resolution acquired images, and the second method determines portions of each of the acquired images which are to be deleted and provides to the display the series of high-resolution images in a scroll fashion with the predetermined portions deleted from the adjacent images. The user has control means for controllably indicating a position (region of interest) on the display for causing the display to provide a high-resolution image which is centered about the region of interest. Additionally, the control means provides control signals to a gantry control apparatus for centering the X-ray examination device over the region of interest. Finally, a processing method and apparatus is provided for displaying the scrolled images in a visually pleasing manner wherein the portions of adjacent images to be deleted is determined by providing continuity for identifiable features of the high-resolution images."
US5561703,US,,,,,
US06678357,US,,,,,
US12095072,US,,,,,
US8577655,US,,,,2031-01-04,"A system, method, and computer program product for creating a virtual numerical control (NC) controller for use in machine tool simulation. A method includes receiving a NC program readable by a physical machine tool, the NC program containing instructions for manipulating the physical machine tool. The method also includes parsing the instructions in the NC program. The method further includes receiving setup data, such as tools, reference coordinates systems, etc., from objects of a CAM system or in a setup data file. The method still further includes translating each instruction in the NC program into at least one virtual NC controller command. The method also includes executing the virtual NC controller commands in a machine tool simulation environment. In some embodiments, the method may include fetching data from a post-processor for the physical machine tool, where the fetched data is not available in the NC program."
US09194959,US,,,,,
JP5383791B2,JP,,,,,
US4843280,US,,,,,
US7164972B2,US,,,,,
US10476084,US,,,,,
CN102023610B,CN,,,,2030-10-14,本发明公开了一种利用工艺软件实现飞剪定位及剪切控制的方法及装置，为解决现有技术中成本高、信号不稳定等问题而发明。本发明通过在传动装置自带的工艺软件或可编程块中自定义设置速度给定模块、位置给定模块及功能切换模块，并在飞剪离切角位置设置接近开关，功能切换模块通过接收外部系统的剪切指令和接近开关发出的信号完成在速度给定模块和位置给定模块之间的切换控制，在传动装置内部控制完成飞剪定位和剪切的准确控制。上述的方法及结构，大大减少了控制硬件，受外界信号干扰程度小，节约成本，操控简单，对操作者的要求较低。
US07935327,US,,,,,
US6834298,US,,,,,
US7553420,US,,,,,
US7632439B2,US,,,,,
US12268759,US,,,,,
US6477374,US,,,,,
US20070246689A1,US,,,,,
US7632439,US,,,,,
US9064332B2,US,,,,,
US08724874,US,,,,,
US7678268B2,US,,,,,
US6403069,US,,,,,
US06529122,US,,,,,
US7383148,US,,,,,
US5647360A,US,,,,2015-06-30,"The digital subtraction angiography method useful for three dimensional (3D) imaging of a selected volume of a body comprises the following steps. Acquiring first and second 3D data sets representative of an image of substantially the same selected volume in the body, the first and second data sets being acquired at different times corresponding to a pre- and a post injection of a contrast medium, respectively. Determining common reference points for spatially corresponding subvolumes in the data sets. Comparing in a 3D spatial manner data in subvolumes of the second data set with data in corresponding subvolumes in the first data set in order to determine a new reference point in each of the subvolumes of the first data set which results in a best match of the spatial similarity of the data in the corresponding subvolumes of the second data set. Spatially interpolating new data for the subvolumes of said first data set using the new reference points determined above and the originally acquired data of the first data set, thereby generating a new first data set for the volume. Subtracting the new first data set from said second data set, for generating a subtraction data set representative of a 3D image of said selected volume in which said given portion is accentuated."
US5839440,US,,,,,
CN103238309B,CN,,,,,
US5519773,US,,,,,
CN103345199B,CN,,,,2033-06-19,本发明公开了一种基于人机界面二次开发的数控机床误差补偿系统及方法，所述补偿系统包括硬件部分和内置于该硬件中的软件部分；所述硬件部分包括：西门子840D数控系统PCU、温度传感器、温度数据采集卡和误差测量仪器；所述软件部分包括：温度采集模块、热误差补偿模块、空间误差补偿模块和状态监控模块。本发明充分利用西门子840D数控系统自带的热误差补偿功能对空间误差进行补偿，实施方便有效，不需要外扩补偿器，并且基于人机界面和DDE（动态数据交互）读取机床参数，不需要外部上位机即可实现良好的在线状态监控。
US10279549B2,US,,,,2033-08-22,"The disclosure relates to a fibre reinforced plastic composite material, including a vacuum assisted resin transfer moulded fibre reinforced plastic laminate prepared by use of a resin flow enhancing member, including a cavity with a first opening and a second opening as well as an resin flow adjusting arrangement for changing a resin flow cross section in a resin flow direction from the first opening to the second opening in the resin flow enhancing member by applying vacuum to the second opening. The resin flow adjusting arrangement includes a plurality of vacuum expandable filler elements that includes gas-filled closed cell cavities and flexible walls. The disclosure further relates to a vacuum assisted resin transfer moulding process for injecting resin from a resin flow enhancing member into a fibre stack."
US09606550,US,,,,,
US8159318,US,,,,,
US09031614,US,,,,,
US6291763,US,,,,,
US7110753,US,,,,2023-10-28,"The present invention is directed to a system and method for remotely controlling functional aspects of a wireless device. An administrator may create control parameters regarding use of a remote wireless device. Upon transmission from the administrator, the control parameters may be received by a recipient wireless device. The wireless device of the present invention may include a program of instructions controlling the operation of the wireless device. When control parameters are received from an administrator, the control parameters may be integrated within the program of instructions such that the recipient wireless device operates according to the control parameters."
US7894460,US,,,,2029-01-22,"A programmable logic controller (PLC) protocol converter is disclosed that allows a supervisory control and data acquisition (SCADA) system to effectively communicate with a PLC device using a desired communications protocol, particularly in cases where the PLC device does not “speak” the desired communications protocol. A first thread may be configured to continually read PLC addresses, one at a time, using a communications protocol understood by the PLC device. The first thread may store the data values in the shared data array within program memory. Thus, the first thread exposes data from the PLC device, as specified in the configuration file. At the same time, a second thread may be configured to serve the data in the shared data array according to a second communications protocol, e.g., to the SCADA system."
EP0317986B1,EP,,,,,
CN104103873B,CN,,,,,
US6489837,US,,,,2020-10-06,"A system for controlling the impedances of circuits on an integrated circuit chip is provided. At least one circuit is selected to operate as a p-channel reference circuit, and at least one circuit is selected to operate as an n-channel reference circuit. Other circuits are selected to operate as circuits and/or line termination circuits. A digitally controlled impedance (DCI) circuit controls the p-channel reference circuit to determine a desired configuration of p-channel transistors for use in the circuits. The DCI circuit further controls the n-channel reference circuit to determine a desired configuration of n-channel transistors for use in the circuits. The DCI circuit takes into account such factors as resistances of p-channel transistors in the p-channel reference circuit, resistances of n-channel transistors in the n-channel reference circuit, as well as temperature, voltage and process variations. The DCI circuit relays information identifying the desired configurations of the n-channel and p-channel transistors to the circuits. The circuits are then configured in response to this information."
US8958864,US,,,,,
US10986107,US,,,,2038-02-23,"There is provided a method including: during a training period, collecting a plurality of scan cycle times of a programmable logic controller (PLC) program executing on a PLC; calculating one or more baseline parameters based on the plurality of scan cycle times; determining a baseline PLC program signature based on the one or more baseline statistical parameters; and storing the baseline PLC program signature."
EP3684954B1,EP,,,,,
US08243902,US,,,,,
US5703783A,US,,,,,
US5838313,US,,,,2015-11-20,"A multimedia-based reporting system utilizes a command interpreter and an annotation input interpreter to receive inputs from a user and forwards the inputs to an open report handler, a save report handler, a delete current report handler, a mail report handler, an attach media handler, a print report handler, a static annotation handler, a dynamic annotation handler including recording and playback and an annotation on annotation handler. The static annotation handler allows the user to add drawings and text to the report. The dynamic annotation handler allows the user to record/playback annotations from the annotation input interpreter. The annotation on annotation handler allows the user to record a session of dynamic annotation based on a segment of existent dynamic annotation."
US5943410,US,,,,2016-08-02,"An apparatus and method allow a telephone user to be automatically connected, in sequence, to multiple telephone numbers in response to a single directory assistance query. The user can elect to put all numbers retrieved by his request into a queue, or can queue a subset. The user can further elect to be connected to all numbers in the queue, or can dial some and skip some. An analogous apparatus and method allow a user connected to the internet to navigate by voice interaction through queued site-visit options."
US11137751B2,US,,,,,
US20100187186A1,US,,,,2029-11-19,"An apparatus and method for separating components of a fluid mixture. The apparatus includes a vortex generation zone shaped as an inverse truncated cone, a solids collection zone, a separation zone, one or more fluid inlets, one or more gas inlets, one or more fluid outlets, and one or more gas outlets. Gas is introduced into fluid in the vortex separation zone to facilitate the separation of components of the fluid mixture."
US9424324B2,US,,,,,
US9120851B2,US,,,,,
CN101790345B,CN,,,,,
US8050917,US,,,,,
US9081073,US,,,,2034-02-05,"An MR system acquires, over multiple heart cycles, image datasets representing multiple image slices of an anatomical region of interest of a patient. In the device, an RF signal generator and a magnetic field gradient generator provides an RF pulse and magnetic field gradient sequence for RF signal excitation of the region of interest and for acquiring RF data following the signal excitation. The sequence comprises, a first sequence occurring substantially immediately after the acquisition of image data using a readout magnetic field gradient. The first sequence includes an RF pulse with a predetermined flip angle followed by a magnetic field gradient pulse for reducing field magnetization to substantially zero. The first sequence is preceded by a dummy acquisition sequence comprising the elements of the first sequence except substantially without acquisition of data."
US20170116748A1,US,,,,,
US9184530B2,US,,,,2033-10-09,"A direct-attach orthogonal electrical connection system with improved high frequency performance is provided. A conductive member is provided between first and second components, each having signal and ground conductors. The conductive member is electrically coupled to ground conductors of both the first and second components and may also have openings through which signal conductors of the first and second components may connect. As such, signal conductors may be positioned relative to the conductive member such that a uniform impedance is maintained along a signal path throughout the interconnection, reducing noise and reflections. The first-type conductive elements may be formed with multiple beams of different lengths to create multiple points of contact distributed along an elongated dimension. For example, a third beam may be fused to a mating portion to allow a tolerance for deviations in alignment between two directly attached connectors."
US20110006002A1,US,,,,2031-09-14,"A low concentration wastewater treatment system is provided that includes a high flux adsorbent material treatment system integrated with a low flux adsorbent material biological regeneration reactor. The high flux adsorbent material treatment system includes one or more unit operations for mixing low concentration wastewater with adsorbent material that is fresh, recycled, or a combination of both, and for decanting a liquid effluent having a reduced level of contaminants. The adsorbent material with adsorbed contaminants is regenerated in a low flux adsorbent material biological regeneration reactor in which a biological reaction occurs, such as biological oxidation, wherein organic contaminants in the wastewater are metabolized generally into carbon dioxide and water. Excess biomass is removed from the adsorbent material, and the thus-regenerated adsorbent material is recycled to the high flux adsorbent material treatment system."
US10564193B2,US,,,,,
US7894460B2,US,,,,2029-01-22,"A programmable logic controller (PLC) protocol converter is disclosed that allows a supervisory control and data acquisition (SCADA) system to effectively communicate with a PLC device using a desired communications protocol, particularly in cases where the PLC device does not “speak” the desired communications protocol. A first thread may be configured to continually read PLC addresses, one at a time, using a communications protocol understood by the PLC device. The first thread may store the data values in the shared data array within program memory. Thus, the first thread exposes data from the PLC device, as specified in the configuration file. At the same time, a second thread may be configured to serve the data in the shared data array according to a second communications protocol, e.g., to the SCADA system."
US6741724,US,,,,2020-03-24,"The invention provides a method of processing an information form such as a postal change of address form. Such a form includes various data elements, such as a name of a person submitting the form and the information on which action is to be taken. In the case of mail forwarding, these data elements would include, for example, the name of the person that wishes mail to be redirected, an old address to which mail for that person was previously sent, and a new address to which mail for that person should be sent. Such a method includes the steps of scanning a sheet having written information thereon reflecting the data elements to obtain an image, processing the image with character recognition logic to obtain text data corresponding to the written information, analyzing the text data with a computer to determine a scanning error probability therein, if the scanning error probability exceeds a predetermined limit, attempting to correct such error by editing of the text data by at least one of a computer using predetermined correction criteria and a human operator viewing the text data, checking one or more elements of the text data (such as a new address and an old address) against a first database of valid data elements (e.g., a postal address database), if the element is found in the first database, updating a second database such as a National Change of Address (NCOA) database to include at least new or revised text data, and rejecting the text data and aborting updating the second database for such text data that cannot be corrected. The invention further provides a system for processing a series of change of information forms such as COA forms, which system is capable of carrying out the foregoing process."
US7113981B2,US,,,,,
US6859747B2,US,,,,,
US09163841,US,,,,,
US06516326,US,,,,,
US8747794B2,US,,,,,
US20180135412A1,US,,,,,
US6356437,US,,,,2019-09-29,"An apparatus and method is disclosed for providing a user with task-specific information that includes a portable instruction system that may be worn by a user, and includes, a computer sufficiently lightweight and designed to be worn by a user to which a memory has been connected. The system includes a display device that can receive display signals from the computer for visual display to the user and an input device by which the user enters commands to the computer. An instructional program is provided that the computer accesses and stores in memory in response to a user command and displays information concerning a task to be performed by the user on the display device in response to commands from the user."
US08543191,US,,,,,
US5937040A,US,,,,,
US5503729,US,,,,,
US9375184,US,,,,,
US5673253A,US,,,,,
US8894857B2,US,,,,,
US8724874B2,US,,,,,
US6493428,US,,,,2018-08-18,"A text enhanced voice menu system includes data storage, a voice communication path, a text communication path and switch logic. The data storage stores audio information for producing a voice menu, and stores text information for producing a text version of the voice menu. The voice communication path generates a voice menu from the audio information. The text communication path generates a text menu from the text information. The switch logic selects one of the voice menu and the text menu to be transmitted over a connection line."
US07215322,US,,,,,
US08591740,US,,,,,
US6574672,US,,,,,
US7672491B2,US,,,,,
US7931808B2,US,,,,,
US8753277B2,US,,,,,
US9740819,US,,,,,
US6771262B2,US,,,,,
US6847351,US,,,,,
US4893027A,US,,,,,
US8243902B2,US,,,,,
US07664482,US,,,,,
US6633742B1,US,,,,,
US8335557B2,US,,,,,
US6128380,US,,,,2018-08-24,"A system for providing automatic call distribution and training is provided. This system includes agents capable of answering incoming telephone calls. In the preferred embodiment, a queue handler processes the incoming telephone calls to an automatic call distribution system. A monitoring means, such as a server, is used to monitor the queue. It can also monitor agent activities. A contacting means, such as a computer, is used for connecting the agents to the incoming calls. The contacting means also provides training to the agent. Thus, the agents are automatically provided with training based on the queue activity."
US06471044,US,,,,,
US7848265B2,US,,,,,
CN103160168B,CN,,,,,
US7510655B2,US,,,,,
US6505237,US,,,,,
