patent,jurisdiction,assignee,status,filing_date,expiration_date,abstract
US10910559B2,US,Amazon Technologies,Grant,2019-09-30,2039-09-30,"Methods and apparatus for dynamic resource management in a computing environment."
US9660384B2,US,Harman International,Grant,2015-03-02,2035-03-02,"Apparatus and method for providing a personalized audio experience in a vehicle."
US20200381771A1,US,ARM Limited,Pending,2020-06-10,,"Methods and apparatus for performing operations in a neural network processing system."
CN112640226B,CN,Shenzhen Goodix Technology,Grant,2020-12-31,2040-12-31,"Fingerprint identification method and device, and electronic terminal."
CN108769022B,CN,BOE Technology Group,Grant,2017-04-01,2037-04-01,"Liquid crystal display device and manufacturing method thereof."
US12050257B2,US,,Grant,2024-06-04,2044-06-04,
US7617691B2,US,Pall Corporation,Expired,2004-07-28,2024-07-28,"Method and system for monitoring health of fluid purification filter."
US7617691,US,Pall Corporation,Expired,2004-07-28,2024-07-28,"Method and system for monitoring health of fluid purification filter."
US10777921,US,Taoglas USA,Grant,2016-08-18,2036-08-18,"Systems and methods for detecting leaks in pipes using fiber optic sensors."
US8664075B2,US,Comcast Cable Communications,Grant,2011-11-28,2031-11-28,"System and method for providing a guided user interface."
US10624696,US,AT&T Intellectual Property,Grant,2016-09-09,2036-09-09,"System and method for providing location based services to mobile devices."
JP2025078769A,JP,,Pending,2025-01-01,,
US10209282B2,US,Kohler Co,Grant,2017-11-13,2037-11-13,"Electronic faucet control system with voice activation."
CN111665784B,CN,BOE Technology Group,Grant,2020-09-29,2040-09-29,"Display panel and display device."
US12015092,US,,Grant,2024-06-18,2044-06-18,
US12015092B2,US,,Grant,2024-06-18,2044-06-18,
US09660384,US,Harman International,Grant,2015-03-02,2035-03-02,"Apparatus and method for providing a personalized audio experience."
US10624696B2,US,AT&T Intellectual Property,Grant,2016-09-09,2036-09-09,"System and method for providing location based services to mobile devices."
US12050257,US,,Grant,2024-06-04,2044-06-04,
US10779887,US,United Services Automobile Association,Grant,2019-06-14,2039-06-14,"System and method for data privacy compliance."
US8664075,US,Comcast Cable Communications,Grant,2011-11-28,2031-11-28,"System and method for providing a guided user interface."
US08664075,US,Comcast Cable Communications,Grant,2011-11-28,2031-11-28,"System and method for providing a guided user interface."
US10779887B2,US,United Services Automobile Association,Grant,2019-06-14,2039-06-14,"System and method for data privacy compliance."
CN104898620B,CN,BOE Technology Group,Grant,2015-09-15,2035-09-15,"Array substrate and manufacturing method thereof."
US10777921B2,US,Taoglas USA,Grant,2016-08-18,2036-08-18,"Systems and methods for detecting leaks in pipes using fiber optic sensors."
US10209282,US,Kohler Co,Grant,2017-11-13,2037-11-13,"Electronic faucet control system with voice activation."
US9660384,US,Harman International,Grant,2015-03-02,2035-03-02,"Apparatus and method for providing a personalized audio experience."
US10910559,US,Amazon Technologies,Grant,2019-09-30,2039-09-30,"Methods and apparatus for dynamic resource management."
US07617691,US,Pall Corporation,Expired,2004-07-28,2024-07-28,"Method and system for monitoring health of fluid purification filter."
CN106457068B,CN,BOE Technology Group,Grant,2016-06-08,2036-06-08,"Organic light emitting diode (OLED) display."
US10748914B2,US,Comcast Cable Communications,Grant,2015-10-14,2035-10-14,"System and method for providing a user interface for media content."
US10748914,US,Comcast Cable Communications,Grant,2015-10-14,2035-10-14,"System and method for providing a user interface for media content."
